,train_type,epoch,model_q,human_q,win
50,u4_label_eig_qs_7e-6,1,0,1,0.5
51,u4_label_eig_qs_7e-6,1,0,0,0.5
52,u4_label_eig_qs_7e-6,1,0,0,0.5
53,u4_label_eig_qs_7e-6,1,0,0,0.5
54,u4_label_eig_qs_7e-6,1,1,1,0.5
55,u4_label_eig_qs_7e-6,1,0,1,0.5
56,u4_label_eig_qs_7e-6,1,0,1,0.5
57,u4_label_eig_qs_7e-6,1,0,0,0.5
58,u4_label_eig_qs_7e-6,1,0,1,0.5
59,u4_label_eig_qs_7e-6,1,0,0,0.5
60,u4_label_eig_qs_7e-6,1,1,0,0.5
61,u4_label_eig_qs_7e-6,1,0,1,0.0
62,u4_label_eig_qs_7e-6,1,0,0,0.5
63,u4_label_eig_qs_7e-6,1,0,0,0.0
64,u4_label_eig_qs_7e-6,1,0,0,0.5
65,u4_label_eig_qs_7e-6,1,0,1,0.5
66,u4_label_eig_qs_7e-6,1,0,0,0.5
67,u4_label_eig_qs_7e-6,1,0,0,0.5
68,u4_label_eig_qs_7e-6,1,0,0,1.0
69,u4_label_eig_qs_7e-6,1,1,0,1.0
70,u4_label_eig_qs_7e-6,1,0,1,0.5
71,u4_label_eig_qs_7e-6,1,0,0,0.5
72,u4_label_eig_qs_7e-6,1,0,0,0.5
73,u4_label_eig_qs_7e-6,1,0,0,0.5
74,u4_label_eig_qs_7e-6,1,0,0,0.0
75,u4_label_eig_qs_7e-6,1,1,0,0.5
76,u4_label_eig_qs_7e-6,1,0,0,0.5
77,u4_label_eig_qs_7e-6,1,0,0,0.0
78,u4_label_eig_qs_7e-6,1,0,1,0.5
79,u4_label_eig_qs_7e-6,1,0,0,0.5
80,u4_label_eig_qs_7e-6,1,0,1,0.5
81,u4_label_eig_qs_7e-6,1,1,1,0.0
82,u4_label_eig_qs_7e-6,1,0,0,0.5
83,u4_label_eig_qs_7e-6,1,0,0,0.5
84,u4_label_eig_qs_7e-6,1,0,1,0.5
85,u4_label_eig_qs_7e-6,1,0,0,0.5
86,u4_label_eig_qs_7e-6,1,0,1,0.5
87,u4_label_eig_qs_7e-6,1,1,1,0.5
88,u4_label_eig_qs_7e-6,1,0,1,0.5
89,u4_label_eig_qs_7e-6,1,0,0,0.5
90,u4_label_eig_qs_7e-6,1,0,0,0.5
91,u4_label_eig_qs_7e-6,1,1,1,1.0
92,u4_label_eig_qs_7e-6,1,0,0,0.5
93,u4_label_eig_qs_7e-6,1,0,1,0.5
94,u4_label_eig_qs_7e-6,1,0,0,0.5
95,u4_label_eig_qs_7e-6,1,0,0,1.0
96,u4_label_eig_qs_7e-6,1,0,0,0.5
97,u4_label_eig_qs_7e-6,1,0,0,0.0
98,u4_label_eig_qs_7e-6,1,0,0,0.5
99,u4_label_eig_qs_7e-6,1,0,1,0.5
100,u4_label_eig_qs_7e-6,1,0,1,0.5
101,u4_label_eig_qs_7e-6,1,0,0,0.5
102,u4_label_eig_qs_7e-6,1,1,1,0.5
103,u4_label_eig_qs_7e-6,1,0,0,0.5
104,u4_label_eig_qs_7e-6,1,0,0,0.5
105,u4_label_eig_qs_7e-6,1,0,0,0.5
106,u4_label_eig_qs_7e-6,1,1,0,1.0
107,u4_label_eig_qs_7e-6,1,1,1,1.0
108,u4_label_eig_qs_7e-6,1,0,1,0.5
109,u4_label_eig_qs_7e-6,1,0,1,0.5
110,u4_label_eig_qs_7e-6,1,0,1,0.5
111,u4_label_eig_qs_7e-6,1,0,1,0.5
112,u4_label_eig_qs_7e-6,1,0,0,0.5
113,u4_label_eig_qs_7e-6,1,0,0,0.5
114,u4_label_eig_qs_7e-6,1,0,0,0.5
115,u4_label_eig_qs_7e-6,1,1,0,1.0
116,u4_label_eig_qs_7e-6,1,0,0,1.0
117,u4_label_eig_qs_7e-6,1,0,0,0.5
118,u4_label_eig_qs_7e-6,1,0,1,0.5
119,u4_label_eig_qs_7e-6,1,1,1,1.0
120,u4_label_eig_qs_7e-6,1,0,1,0.5
121,u4_label_eig_qs_7e-6,1,0,1,0.5
122,u4_label_eig_qs_7e-6,1,0,0,0.5
123,u4_label_eig_qs_7e-6,1,0,1,0.5
124,u4_label_eig_qs_7e-6,1,0,0,0.5
125,u4_label_eig_qs_7e-6,1,0,1,0.5
126,u4_label_eig_qs_7e-6,1,0,1,1.0
127,u4_label_eig_qs_7e-6,1,0,0,0.5
128,u4_label_eig_qs_7e-6,1,1,1,0.5
129,u4_label_eig_qs_7e-6,1,0,0,0.5
130,u4_label_eig_qs_7e-6,1,0,0,0.5
131,u4_label_eig_qs_7e-6,1,0,0,0.5
132,u4_label_eig_qs_7e-6,1,0,0,0.5
133,u4_label_eig_qs_7e-6,1,0,0,0.5
134,u4_label_eig_qs_7e-6,1,0,1,0.5
135,u4_label_eig_qs_7e-6,1,0,0,0.5
136,u4_label_eig_qs_7e-6,1,0,0,0.5
137,u4_label_eig_qs_7e-6,1,0,0,0.5
138,u4_label_eig_qs_7e-6,1,0,0,0.5
139,u4_label_eig_qs_7e-6,1,0,1,0.0
140,u4_label_eig_qs_7e-6,1,0,1,0.5
141,u4_label_eig_qs_7e-6,1,0,0,0.5
142,u4_label_eig_qs_7e-6,1,0,1,0.0
143,u4_label_eig_qs_7e-6,1,1,0,0.5
144,u4_label_eig_qs_7e-6,1,0,0,0.5
145,u4_label_eig_qs_7e-6,1,0,1,0.5
146,u4_label_eig_qs_7e-6,1,0,0,0.5
147,u4_label_eig_qs_7e-6,1,0,0,0.5
148,u4_label_eig_qs_7e-6,1,0,1,0.5
149,u4_label_eig_qs_7e-6,1,0,0,0.5
150,u4_label_eig_qs_7e-6,1,0,1,0.5
151,u4_label_eig_qs_7e-6,1,0,0,0.5
152,u4_label_eig_qs_7e-6,1,0,0,0.5
153,u4_label_eig_qs_7e-6,1,0,0,0.5
154,u4_label_eig_qs_7e-6,1,0,0,0.5
155,u4_label_eig_qs_7e-6,1,0,0,0.5
156,u4_label_eig_qs_7e-6,1,0,1,0.5
157,u4_label_eig_qs_7e-6,1,0,0,1.0
158,u4_label_eig_qs_7e-6,1,0,0,0.5
159,u4_label_eig_qs_7e-6,1,0,0,0.5
160,u4_label_eig_qs_7e-6,1,0,1,0.5
161,u4_label_eig_qs_7e-6,1,0,1,0.5
162,u4_label_eig_qs_7e-6,1,0,0,0.5
163,u4_label_eig_qs_7e-6,1,0,0,0.5
164,u4_label_eig_qs_7e-6,1,1,1,0.5
165,u4_label_eig_qs_7e-6,1,0,1,0.5
166,u4_label_eig_qs_7e-6,1,0,0,0.5
167,u4_label_eig_qs_7e-6,1,0,0,0.5
168,u4_label_eig_qs_7e-6,1,0,0,0.5
169,u4_label_eig_qs_7e-6,1,0,0,1.0
170,u4_label_eig_qs_7e-6,1,0,0,0.5
171,u4_label_eig_qs_7e-6,1,0,1,0.5
172,u4_label_eig_qs_7e-6,1,0,0,0.5
173,u4_label_eig_qs_7e-6,1,0,1,0.5
174,u4_label_eig_qs_7e-6,1,0,1,0.5
175,u4_label_eig_qs_7e-6,1,0,0,0.5
176,u4_label_eig_qs_7e-6,1,0,1,1.0
177,u4_label_eig_qs_7e-6,1,0,1,0.5
178,u4_label_eig_qs_7e-6,1,0,1,0.5
179,u4_label_eig_qs_7e-6,1,0,0,1.0
180,u4_label_eig_qs_7e-6,1,0,0,0.5
181,u4_label_eig_qs_7e-6,1,0,0,0.5
182,u4_label_eig_qs_7e-6,1,0,0,0.5
183,u4_label_eig_qs_7e-6,1,0,0,0.5
184,u4_label_eig_qs_7e-6,1,0,0,0.5
185,u4_label_eig_qs_7e-6,1,0,1,0.5
186,u4_label_eig_qs_7e-6,1,0,0,0.5
187,u4_label_eig_qs_7e-6,1,0,0,1.0
188,u4_label_eig_qs_7e-6,1,0,0,0.5
189,u4_label_eig_qs_7e-6,1,0,0,1.0
190,u4_label_eig_qs_7e-6,1,0,1,0.5
191,u4_label_eig_qs_7e-6,1,0,0,0.5
192,u4_label_eig_qs_7e-6,1,0,0,0.5
193,u4_label_eig_qs_7e-6,1,0,0,0.5
194,u4_label_eig_qs_7e-6,1,0,0,1.0
195,u4_label_eig_qs_7e-6,1,0,1,0.5
196,u4_label_eig_qs_7e-6,1,0,0,0.5
197,u4_label_eig_qs_7e-6,1,0,1,0.5
198,u4_label_eig_qs_7e-6,1,0,0,0.5
199,u4_label_eig_qs_7e-6,1,0,0,0.5
200,u4_label_eig_qs_7e-6,2,0,0,0.5
201,u4_label_eig_qs_7e-6,2,1,0,0.5
202,u4_label_eig_qs_7e-6,2,1,1,1.0
203,u4_label_eig_qs_7e-6,2,0,1,0.5
204,u4_label_eig_qs_7e-6,2,1,1,0.0
205,u4_label_eig_qs_7e-6,2,1,1,0.5
206,u4_label_eig_qs_7e-6,2,0,1,0.5
207,u4_label_eig_qs_7e-6,2,0,0,0.5
208,u4_label_eig_qs_7e-6,2,1,0,0.5
209,u4_label_eig_qs_7e-6,2,1,0,1.0
210,u4_label_eig_qs_7e-6,2,0,0,0.5
211,u4_label_eig_qs_7e-6,2,1,1,1.0
212,u4_label_eig_qs_7e-6,2,0,0,0.5
213,u4_label_eig_qs_7e-6,2,0,1,0.0
214,u4_label_eig_qs_7e-6,2,1,1,1.0
215,u4_label_eig_qs_7e-6,2,1,0,0.5
216,u4_label_eig_qs_7e-6,2,0,0,0.5
217,u4_label_eig_qs_7e-6,2,1,1,1.0
218,u4_label_eig_qs_7e-6,2,1,0,1.0
219,u4_label_eig_qs_7e-6,2,0,0,0.5
220,u4_label_eig_qs_7e-6,2,0,0,0.5
221,u4_label_eig_qs_7e-6,2,1,1,0.5
222,u4_label_eig_qs_7e-6,2,1,0,0.0
223,u4_label_eig_qs_7e-6,2,1,1,1.0
224,u4_label_eig_qs_7e-6,2,0,0,1.0
225,u4_label_eig_qs_7e-6,2,0,0,0.5
226,u4_label_eig_qs_7e-6,2,1,0,0.5
227,u4_label_eig_qs_7e-6,2,0,0,0.5
228,u4_label_eig_qs_7e-6,2,1,0,0.5
229,u4_label_eig_qs_7e-6,2,0,1,0.5
230,u4_label_eig_qs_7e-6,2,1,0,0.5
231,u4_label_eig_qs_7e-6,2,1,1,1.0
232,u4_label_eig_qs_7e-6,2,0,1,0.0
233,u4_label_eig_qs_7e-6,2,1,0,0.5
234,u4_label_eig_qs_7e-6,2,1,1,0.5
235,u4_label_eig_qs_7e-6,2,1,0,1.0
236,u4_label_eig_qs_7e-6,2,1,1,0.5
237,u4_label_eig_qs_7e-6,2,1,1,0.0
238,u4_label_eig_qs_7e-6,2,0,0,0.5
239,u4_label_eig_qs_7e-6,2,0,0,0.5
240,u4_label_eig_qs_7e-6,2,1,1,1.0
241,u4_label_eig_qs_7e-6,2,1,0,0.5
242,u4_label_eig_qs_7e-6,2,1,1,0.5
243,u4_label_eig_qs_7e-6,2,0,0,0.5
244,u4_label_eig_qs_7e-6,2,1,0,0.5
245,u4_label_eig_qs_7e-6,2,1,1,1.0
246,u4_label_eig_qs_7e-6,2,0,0,0.5
247,u4_label_eig_qs_7e-6,2,1,0,0.5
248,u4_label_eig_qs_7e-6,2,0,0,0.5
249,u4_label_eig_qs_7e-6,2,1,1,0.0
250,u4_label_eig_qs_7e-6,2,1,1,1.0
251,u4_label_eig_qs_7e-6,2,0,0,0.5
252,u4_label_eig_qs_7e-6,2,1,0,1.0
253,u4_label_eig_qs_7e-6,2,1,0,0.5
254,u4_label_eig_qs_7e-6,2,1,1,1.0
255,u4_label_eig_qs_7e-6,2,1,1,1.0
256,u4_label_eig_qs_7e-6,2,1,1,1.0
257,u4_label_eig_qs_7e-6,2,1,0,0.5
258,u4_label_eig_qs_7e-6,2,0,1,0.5
259,u4_label_eig_qs_7e-6,2,1,0,0.0
260,u4_label_eig_qs_7e-6,2,1,0,1.0
261,u4_label_eig_qs_7e-6,2,1,1,0.5
262,u4_label_eig_qs_7e-6,2,0,0,0.5
263,u4_label_eig_qs_7e-6,2,0,0,1.0
264,u4_label_eig_qs_7e-6,2,1,0,0.0
265,u4_label_eig_qs_7e-6,2,0,1,0.5
266,u4_label_eig_qs_7e-6,2,1,0,0.5
267,u4_label_eig_qs_7e-6,2,1,0,1.0
268,u4_label_eig_qs_7e-6,2,0,0,1.0
269,u4_label_eig_qs_7e-6,2,0,0,0.5
270,u4_label_eig_qs_7e-6,2,1,1,0.0
271,u4_label_eig_qs_7e-6,2,0,0,0.5
272,u4_label_eig_qs_7e-6,2,0,0,0.5
273,u4_label_eig_qs_7e-6,2,0,0,0.5
274,u4_label_eig_qs_7e-6,2,0,0,0.5
275,u4_label_eig_qs_7e-6,2,1,0,1.0
276,u4_label_eig_qs_7e-6,2,1,0,0.5
277,u4_label_eig_qs_7e-6,2,0,0,0.5
278,u4_label_eig_qs_7e-6,2,1,1,1.0
279,u4_label_eig_qs_7e-6,2,0,0,0.5
280,u4_label_eig_qs_7e-6,2,1,1,0.0
281,u4_label_eig_qs_7e-6,2,1,1,0.5
282,u4_label_eig_qs_7e-6,2,1,0,1.0
283,u4_label_eig_qs_7e-6,2,0,0,0.5
284,u4_label_eig_qs_7e-6,2,1,1,1.0
285,u4_label_eig_qs_7e-6,2,0,0,0.5
286,u4_label_eig_qs_7e-6,2,0,1,0.5
287,u4_label_eig_qs_7e-6,2,1,1,0.5
288,u4_label_eig_qs_7e-6,2,1,1,1.0
289,u4_label_eig_qs_7e-6,2,0,0,0.5
290,u4_label_eig_qs_7e-6,2,0,0,0.5
291,u4_label_eig_qs_7e-6,2,1,1,1.0
292,u4_label_eig_qs_7e-6,2,0,0,0.5
293,u4_label_eig_qs_7e-6,2,1,1,0.5
294,u4_label_eig_qs_7e-6,2,1,0,1.0
295,u4_label_eig_qs_7e-6,2,1,0,0.5
296,u4_label_eig_qs_7e-6,2,1,0,0.0
297,u4_label_eig_qs_7e-6,2,0,0,0.5
298,u4_label_eig_qs_7e-6,2,0,0,1.0
299,u4_label_eig_qs_7e-6,2,1,1,0.5
300,u4_label_eig_qs_7e-6,2,0,1,0.5
301,u4_label_eig_qs_7e-6,2,0,0,0.5
302,u4_label_eig_qs_7e-6,2,1,1,1.0
303,u4_label_eig_qs_7e-6,2,1,0,0.5
304,u4_label_eig_qs_7e-6,2,0,0,0.5
305,u4_label_eig_qs_7e-6,2,0,0,0.5
306,u4_label_eig_qs_7e-6,2,1,0,0.5
307,u4_label_eig_qs_7e-6,2,1,1,0.5
308,u4_label_eig_qs_7e-6,2,0,1,0.5
309,u4_label_eig_qs_7e-6,2,1,1,1.0
310,u4_label_eig_qs_7e-6,2,1,1,1.0
311,u4_label_eig_qs_7e-6,2,0,1,0.5
312,u4_label_eig_qs_7e-6,2,0,0,0.5
313,u4_label_eig_qs_7e-6,2,0,0,0.5
314,u4_label_eig_qs_7e-6,2,0,0,0.5
315,u4_label_eig_qs_7e-6,2,1,0,1.0
316,u4_label_eig_qs_7e-6,2,1,0,1.0
317,u4_label_eig_qs_7e-6,2,0,0,0.5
318,u4_label_eig_qs_7e-6,2,1,1,1.0
319,u4_label_eig_qs_7e-6,2,1,1,1.0
320,u4_label_eig_qs_7e-6,2,0,1,1.0
321,u4_label_eig_qs_7e-6,2,0,1,0.5
322,u4_label_eig_qs_7e-6,2,1,0,1.0
323,u4_label_eig_qs_7e-6,2,1,1,0.5
324,u4_label_eig_qs_7e-6,2,1,0,1.0
325,u4_label_eig_qs_7e-6,2,1,1,1.0
326,u4_label_eig_qs_7e-6,2,0,1,1.0
327,u4_label_eig_qs_7e-6,2,1,0,0.0
328,u4_label_eig_qs_7e-6,2,1,1,1.0
329,u4_label_eig_qs_7e-6,2,0,0,0.5
330,u4_label_eig_qs_7e-6,2,1,0,1.0
331,u4_label_eig_qs_7e-6,2,0,0,0.5
332,u4_label_eig_qs_7e-6,2,0,0,0.0
333,u4_label_eig_qs_7e-6,2,0,0,0.0
334,u4_label_eig_qs_7e-6,2,1,1,1.0
335,u4_label_eig_qs_7e-6,2,0,0,0.0
336,u4_label_eig_qs_7e-6,2,0,0,0.5
337,u4_label_eig_qs_7e-6,2,1,0,1.0
338,u4_label_eig_qs_7e-6,2,1,0,0.0
339,u4_label_eig_qs_7e-6,2,0,1,0.0
340,u4_label_eig_qs_7e-6,2,1,1,0.0
341,u4_label_eig_qs_7e-6,2,0,0,0.5
342,u4_label_eig_qs_7e-6,2,0,1,0.5
343,u4_label_eig_qs_7e-6,2,1,0,0.0
344,u4_label_eig_qs_7e-6,2,1,0,1.0
345,u4_label_eig_qs_7e-6,2,0,1,0.5
346,u4_label_eig_qs_7e-6,2,0,0,0.0
347,u4_label_eig_qs_7e-6,2,0,0,0.5
348,u4_label_eig_qs_7e-6,2,1,1,1.0
349,u4_label_eig_qs_7e-6,2,0,0,0.5
350,u4_label_eig_qs_7e-6,2,1,1,1.0
351,u4_label_eig_qs_7e-6,2,0,0,0.5
352,u4_label_eig_qs_7e-6,2,0,0,0.0
353,u4_label_eig_qs_7e-6,2,0,0,0.5
354,u4_label_eig_qs_7e-6,2,1,0,1.0
355,u4_label_eig_qs_7e-6,2,0,0,0.5
356,u4_label_eig_qs_7e-6,2,1,1,1.0
357,u4_label_eig_qs_7e-6,2,0,0,0.5
358,u4_label_eig_qs_7e-6,2,1,0,0.5
359,u4_label_eig_qs_7e-6,2,0,0,0.5
360,u4_label_eig_qs_7e-6,2,1,1,0.5
361,u4_label_eig_qs_7e-6,2,1,1,1.0
362,u4_label_eig_qs_7e-6,2,0,0,0.5
363,u4_label_eig_qs_7e-6,2,0,0,0.5
364,u4_label_eig_qs_7e-6,2,1,1,1.0
365,u4_label_eig_qs_7e-6,2,1,1,0.5
366,u4_label_eig_qs_7e-6,2,1,0,0.5
367,u4_label_eig_qs_7e-6,2,1,0,0.5
368,u4_label_eig_qs_7e-6,2,0,0,0.5
369,u4_label_eig_qs_7e-6,2,1,0,0.0
370,u4_label_eig_qs_7e-6,2,0,0,1.0
371,u4_label_eig_qs_7e-6,2,1,1,0.5
372,u4_label_eig_qs_7e-6,2,1,0,1.0
373,u4_label_eig_qs_7e-6,2,1,1,1.0
374,u4_label_eig_qs_7e-6,2,1,1,1.0
375,u4_label_eig_qs_7e-6,2,1,0,0.0
376,u4_label_eig_qs_7e-6,2,1,1,1.0
377,u4_label_eig_qs_7e-6,2,0,1,0.5
378,u4_label_eig_qs_7e-6,2,1,1,0.5
379,u4_label_eig_qs_7e-6,2,1,0,0.5
380,u4_label_eig_qs_7e-6,2,0,0,0.5
381,u4_label_eig_qs_7e-6,2,1,0,0.5
382,u4_label_eig_qs_7e-6,2,0,0,0.5
383,u4_label_eig_qs_7e-6,2,0,0,0.0
384,u4_label_eig_qs_7e-6,2,0,0,0.5
385,u4_label_eig_qs_7e-6,2,0,1,0.5
386,u4_label_eig_qs_7e-6,2,0,0,0.5
387,u4_label_eig_qs_7e-6,2,0,0,0.5
388,u4_label_eig_qs_7e-6,2,0,0,0.5
389,u4_label_eig_qs_7e-6,2,0,0,0.5
390,u4_label_eig_qs_7e-6,2,1,1,0.5
391,u4_label_eig_qs_7e-6,2,0,0,0.5
392,u4_label_eig_qs_7e-6,2,0,0,0.5
393,u4_label_eig_qs_7e-6,2,0,0,0.5
394,u4_label_eig_qs_7e-6,2,0,0,0.5
395,u4_label_eig_qs_7e-6,2,1,1,1.0
396,u4_label_eig_qs_7e-6,2,1,0,0.5
397,u4_label_eig_qs_7e-6,2,0,1,0.5
398,u4_label_eig_qs_7e-6,2,0,0,0.5
399,u4_label_eig_qs_7e-6,2,0,0,0.5
400,u17_label_eig_qs_7e-6,1,0,0,0.5
401,u17_label_eig_qs_7e-6,1,1,0,0.5
402,u17_label_eig_qs_7e-6,1,0,1,0.5
403,u17_label_eig_qs_7e-6,1,0,1,0.5
404,u17_label_eig_qs_7e-6,1,0,1,0.5
405,u17_label_eig_qs_7e-6,1,1,1,0.5
406,u17_label_eig_qs_7e-6,1,0,1,0.5
407,u17_label_eig_qs_7e-6,1,0,0,0.5
408,u17_label_eig_qs_7e-6,1,0,0,0.5
409,u17_label_eig_qs_7e-6,1,0,0,0.5
410,u17_label_eig_qs_7e-6,1,0,0,0.5
411,u17_label_eig_qs_7e-6,1,0,1,0.5
412,u17_label_eig_qs_7e-6,1,0,0,0.5
413,u17_label_eig_qs_7e-6,1,0,1,0.5
414,u17_label_eig_qs_7e-6,1,0,1,0.5
415,u17_label_eig_qs_7e-6,1,1,0,1.0
416,u17_label_eig_qs_7e-6,1,0,0,0.5
417,u17_label_eig_qs_7e-6,1,0,1,0.5
418,u17_label_eig_qs_7e-6,1,0,0,0.5
419,u17_label_eig_qs_7e-6,1,0,0,0.5
420,u17_label_eig_qs_7e-6,1,0,0,0.5
421,u17_label_eig_qs_7e-6,1,1,1,0.0
422,u17_label_eig_qs_7e-6,1,0,0,0.5
423,u17_label_eig_qs_7e-6,1,0,1,0.5
424,u17_label_eig_qs_7e-6,1,0,0,0.5
425,u17_label_eig_qs_7e-6,1,1,0,1.0
426,u17_label_eig_qs_7e-6,1,0,0,0.5
427,u17_label_eig_qs_7e-6,1,0,0,0.5
428,u17_label_eig_qs_7e-6,1,0,0,0.5
429,u17_label_eig_qs_7e-6,1,0,1,0.5
430,u17_label_eig_qs_7e-6,1,0,0,0.5
431,u17_label_eig_qs_7e-6,1,0,1,0.5
432,u17_label_eig_qs_7e-6,1,0,1,1.0
433,u17_label_eig_qs_7e-6,1,0,0,0.5
434,u17_label_eig_qs_7e-6,1,1,1,0.5
435,u17_label_eig_qs_7e-6,1,0,0,0.5
436,u17_label_eig_qs_7e-6,1,1,1,1.0
437,u17_label_eig_qs_7e-6,1,1,1,0.5
438,u17_label_eig_qs_7e-6,1,0,0,0.5
439,u17_label_eig_qs_7e-6,1,0,0,0.5
440,u17_label_eig_qs_7e-6,1,1,1,1.0
441,u17_label_eig_qs_7e-6,1,0,0,0.5
442,u17_label_eig_qs_7e-6,1,0,1,0.5
443,u17_label_eig_qs_7e-6,1,0,0,0.5
444,u17_label_eig_qs_7e-6,1,0,0,1.0
445,u17_label_eig_qs_7e-6,1,0,1,0.5
446,u17_label_eig_qs_7e-6,1,0,0,0.5
447,u17_label_eig_qs_7e-6,1,0,0,0.5
448,u17_label_eig_qs_7e-6,1,0,0,0.5
449,u17_label_eig_qs_7e-6,1,0,1,0.5
450,u17_label_eig_qs_7e-6,1,0,1,0.5
451,u17_label_eig_qs_7e-6,1,0,0,0.5
452,u17_label_eig_qs_7e-6,1,0,0,0.0
453,u17_label_eig_qs_7e-6,1,0,0,0.5
454,u17_label_eig_qs_7e-6,1,1,1,0.5
455,u17_label_eig_qs_7e-6,1,0,1,0.5
456,u17_label_eig_qs_7e-6,1,0,1,0.5
457,u17_label_eig_qs_7e-6,1,0,0,0.5
458,u17_label_eig_qs_7e-6,1,0,1,0.5
459,u17_label_eig_qs_7e-6,1,0,0,0.5
460,u17_label_eig_qs_7e-6,1,1,0,0.5
461,u17_label_eig_qs_7e-6,1,0,1,0.5
462,u17_label_eig_qs_7e-6,1,0,0,0.5
463,u17_label_eig_qs_7e-6,1,0,0,0.5
464,u17_label_eig_qs_7e-6,1,0,0,0.5
465,u17_label_eig_qs_7e-6,1,0,1,0.5
466,u17_label_eig_qs_7e-6,1,0,0,0.5
467,u17_label_eig_qs_7e-6,1,0,0,0.5
468,u17_label_eig_qs_7e-6,1,0,0,1.0
469,u17_label_eig_qs_7e-6,1,1,0,1.0
470,u17_label_eig_qs_7e-6,1,0,1,0.5
471,u17_label_eig_qs_7e-6,1,0,0,0.5
472,u17_label_eig_qs_7e-6,1,0,0,0.5
473,u17_label_eig_qs_7e-6,1,0,0,0.5
474,u17_label_eig_qs_7e-6,1,0,0,1.0
475,u17_label_eig_qs_7e-6,1,1,0,0.5
476,u17_label_eig_qs_7e-6,1,0,0,0.5
477,u17_label_eig_qs_7e-6,1,0,0,0.5
478,u17_label_eig_qs_7e-6,1,0,1,0.5
479,u17_label_eig_qs_7e-6,1,0,0,0.5
480,u17_label_eig_qs_7e-6,1,0,1,0.5
481,u17_label_eig_qs_7e-6,1,1,1,0.0
482,u17_label_eig_qs_7e-6,1,0,0,0.5
483,u17_label_eig_qs_7e-6,1,0,0,0.5
484,u17_label_eig_qs_7e-6,1,0,1,0.5
485,u17_label_eig_qs_7e-6,1,0,0,0.5
486,u17_label_eig_qs_7e-6,1,0,1,0.5
487,u17_label_eig_qs_7e-6,1,1,1,0.5
488,u17_label_eig_qs_7e-6,1,0,1,0.5
489,u17_label_eig_qs_7e-6,1,0,0,0.5
490,u17_label_eig_qs_7e-6,1,0,0,0.5
491,u17_label_eig_qs_7e-6,1,0,1,0.5
492,u17_label_eig_qs_7e-6,1,0,0,0.5
493,u17_label_eig_qs_7e-6,1,0,1,0.5
494,u17_label_eig_qs_7e-6,1,0,0,0.5
495,u17_label_eig_qs_7e-6,1,0,0,0.5
496,u17_label_eig_qs_7e-6,1,1,0,1.0
497,u17_label_eig_qs_7e-6,1,0,0,0.0
